"latitude";"longitude";"Schulnummer";"Schulname";"Schule.PLZ";"Schule.Strasse";"Schule.Hausnr";"Schule.Hausnr.2";"Kennz.Zweigstelle";"Ergebnis"
53.556109;10.054829;3201;"Katholische Schule Hammer Kirche";20535;"Bei der Hammer Kirche";10;"";"keine Zweigstelle";314
53.558109;10.014003;3202;"Domschule St. Marien (Stadtteilschule)";20099;"Schmilinskystraﬂe";70;"";"keine Zweigstelle";263
53.54052;10.10897;3203;"Katholische Schule St. Paulus";22111;"÷jendorfer Weg";14;"";"keine Zweigstelle";646
53.559273;9.95604;3204;"Katholische Schule Altona";22767;"Dohrnweg";6;"";"keine Zweigstelle";298
53.551291;9.924023;3205;"Katholische Schule St. Marien - Eulenstraﬂe";22763;"Eulenstraﬂe";68;"";"keine Zweigstelle";125
53.561709;9.822237;3206;"Katholische Schule Blankenese";22587;"Mˆrikestraﬂe";16;"";"keine Zweigstelle";262
53.57762;9.957595;3207;"Katholische Schule Am Weiher - St. Bonifatius";20255;"Am Weiher";29;"";"keine Zweigstelle";306
53.573469;9.985433;3208;"Katholische Schule Hochallee";20149;"Hochallee";9;"";"keine Zweigstelle";218
53.579295;10.034928;3209;"Katholische Sophienschule";22083;"Elsastraﬂe";46;"";"keine Zweigstelle";277
53.585295;10.055088;3210;"Franz-von-Assisi-Schule";22305;"L‰mmersieth";38;"";"keine Zweigstelle";250
53.59872;9.99651;3211;"Katholische Schule St. Antonius";22299;"Alsterdorfer Straﬂe";71;"";"keine Zweigstelle";308
53.652172;10.014391;3212;"Katharina-von-Siena-Schule";22415;"Eberhofweg";75;"";"keine Zweigstelle";359
53.607218;10.122258;3213;"Katholische Schule Farmsen";22159;"Rahlstedter Weg";15;"";"keine Zweigstelle";427
53.573615;10.076668;3214;"Katholische Schule St. Joseph - Wandsbek";22041;"Bˆhmestraﬂe";3;"";"keine Zweigstelle";232
53.491745;10.215722;3215;"Katholische Schule Bergedorf";21029;"Chrysanderstraﬂe";40;"";"keine Zweigstelle";467
53.457779;9.969987;3216;"Katholische Schule Harburg";21073;"Julius-Ludowieg-Straﬂe";89;"";"keine Zweigstelle";690
53.505052;9.986728;3217;"Katholische Bonifatiusschule";21107;"Bonifatiusstraﬂe";2;"";"keine Zweigstelle";637
53.6167;10.028152;3218;"Bugenhagen-Schule Alsterdorf, Schule f¸r Kinder mit besonderem Fˆrderbedarf";22337;"Alsterdorfer Straﬂe";506;"";"keine Zweigstelle";134
53.557897;10.031287;3219;"Sankt-Ansgar-Schule";20535;"B¸rgerweide";33;"";"keine Zweigstelle";807
53.562184;9.994914;3220;"Sophie-Barat-Schule";20354;"Warburgstraﬂe";39;"";"keine Zweigstelle";923
53.471791;9.845328;3222;"Katholische Schule Neugraben";21149;"Cuxhavener Straﬂe";379;"";"keine Zweigstelle";462
53.6167;10.028152;3223;"Bugenhagen-Schule Alsterdorf (Stadtteilschule)";22337;"Alsterdorfer Straﬂe";506;"";"keine Zweigstelle";529
53.457895;9.971044;3224;"Niels-Stensen-Gymnasium";21073;"Barlachstraﬂe";16;"";"keine Zweigstelle";542
53.562094;9.807388;3225;"Bugenhagen-Schule im Hessepark (Grundschule)";22587;"Oesterleystraﬂe";22;"";"keine Zweigstelle";63
53.557897;10.031287;3226;"Katholische Stadtteilschuloberstufe Nord-Ost an der Sankt-Ansgar-Schule";20535;"B¸rgerweide";33;"";"keine Zweigstelle";139
53.562184;9.994914;3227;"Katholische Stadtteilschuloberstufe Nord-West an der Sophie-Barat-Schule";20354;"Warburgstraﬂe";39;"";"keine Zweigstelle";79
53.457895;9.971044;3228;"Katholische Stadtteilschuloberstufe S¸d am Niels-Stensen-Gymnasium";21073;"Barlachstraﬂe";16;"";"keine Zweigstelle";112
53.6167;10.028152;3229;"Bugenhagen-Schule Alsterdorf (Grundschule)";22337;"Alsterdorfer Straﬂe";506;"";"keine Zweigstelle";267
53.558109;10.014003;3230;"Domschule St. Marien (Grundschule)";20099;"Schmilinskystraﬂe";70;"";"keine Zweigstelle";89
53.5733;9.86913;3231;"Bugenhagen-Schule Groﬂ Flottbek";22607;"Bei der Flottbeker M¸hle";28;"";"keine Zweigstelle";89
53.56146;10.059516;3232;"Bugenhagen-Schule Hamm, Evangelische Grundschule Paulus";20535;"Quellenweg";10;"";"keine Zweigstelle";96
53.562094;9.807388;3233;"Bugenhagen-Schule im Hessepark (Stadtteilschule)";22587;"Oesterleystraﬂe";22;"";"keine Zweigstelle";324
53.600769;10.047169;5043;"Stadtteilschule Helmuth H¸bener";22307;"Benzenbergweg";2;"";"keine Zweigstelle";447
53.599035;10.048468;5043;"Stadtteilschule Helmuth H¸bener";22307;"Langenfort";68;"";"Zweigstelle";599
53.594694;10.124273;5046;"Gyula Trebitsch Schule Tonndorf";22159;"Barenkrug";16;"";"keine Zweigstelle";1466
53.67175;10.136861;5048;"Stadtteilschule Bergstedt";22395;"Volksdorfer Damm";218;"";"keine Zweigstelle";1019
53.670651;10.028704;5049;"Stadtteilschule Am Heidberg";22417;"Tangstedter Landstraﬂe";300;"";"keine Zweigstelle";921
53.576518;10.021734;5052;"Ilse-Lˆwenstein-Schule";22083;"Humboldtstraﬂe";89;"";"keine Zweigstelle";409
53.632554;10.0482;5053;"Albert-Schweitzer-Schule";22337;"Schluchtweg";1;"";"keine Zweigstelle";714
