"KundenNr";"Zeitstempel";"PLZ";"Schulform";"Museum"
191341;"2015-02-18 10:00:00";22761;"Stadtteilschule";"Hamburger Kunsthalle"
199686;"2014-05-13 10:00:00";21035;"Grundschule";"Zoologisches Museum im CeNaK"
103501;"2015-04-16 11:30:00";22395;"Grundschule";"Archäologisches Museum Hamburg "
207192;"2015-05-21 15:00:00";22765;"Grundschule";"Museum für Völkerkunde Hamburg"
188373;"2013-02-05 10:00:00";22085;"Grundschule";"Zoologisches Museum im CeNaK"
202148;"2014-10-23 10:30:00";22455;"Grundschule";"BallinStadt - das Auswanderermuseum Hamburg"
93151;"2013-02-15 10:00:00";22111;"Grundschule";"Museum für Kunst und Gewerbe "
184573;"2015-03-17 13:30:00";20535;"Stadtteilschule";"Hamburger Kunsthalle"
194067;"2016-03-08 12:15:00";22047;"Grundschule";"Zoologisches Museum im CeNaK"
195449;"2014-12-10 14:30:00";22303;"Förderschule";"BallinStadt - das Auswanderermuseum Hamburg"
195504;"2013-10-10 10:00:00";22589;"Grundschule";"Museum für Völkerkunde Hamburg"
872;"2015-04-30 10:00:00";22767;"Sonderschule";"Hamburger Kunsthalle"
198039;"2015-05-06 09:30:00";20146;"Stadtteilschule";"Bucerius Kunst Forum"
194971;"2013-09-13 10:00:00";22111;"Grundschule";"Zoologisches Museum im CeNaK"
152228;"2013-10-23 10:00:00";22459;"Grundschule";"Zoologisches Museum im CeNaK"
177283;"2015-10-14 09:00:00";21107;"Stadtteilschule";"Archäologisches Museum Hamburg "
190733;"2013-02-07 11:00:00";21109;"Förderschule";"Archäologisches Museum Hamburg "
191341;"2015-02-19 10:00:00";22761;"Stadtteilschule";"Hamburger Kunsthalle"
3866;"2015-01-27 11:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
3866;"2014-10-28 10:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
190896;"2013-01-30 13:00:00";22307;"Stadtteilschule";"Archäologisches Museum Hamburg "
152228;"2013-10-22 10:00:00";22459;"Grundschule";"Zoologisches Museum im CeNaK"
198505;"2014-03-25 10:00:00";22769;"Grundschule";"Museum für Hamburgische Geschichte"
197826;"2014-02-05 10:00:00";20253;"Grundschule";"Zoologisches Museum im CeNaK"
127691;"2013-02-08 10:00:00";21077;"Grundschule";"Zoologisches Museum im CeNaK"
201044;"2014-08-01 10:00:00";22547;"Grundschule";"Zoologisches Museum im CeNaK"
21656;"2013-02-22 10:00:00";22457;"Grundschule";"Museum für Völkerkunde Hamburg"
1866;"2013-03-26 10:00:00";20253;"Grundschule";"Hamburger Kunsthalle"
132021;"2014-06-20 10:00:00";22115;"Grundschule";"Zoologisches Museum im CeNaK"
24176;"2014-02-12 10:00:00";22399;"Grundschule";"Altonaer Museum "
102226;"2016-04-08 10:00:00";22523;"Grundschule";"Hafenmuseum Hamburg"
2858;"2013-03-22 10:15:00";22765;"Grundschule";"Museum für Kunst und Gewerbe "
201376;"2014-08-27 11:00:00";22299;"Grundschule";"Hamburger Kunsthalle"
128196;"2014-05-15 10:00:00";22115;"Grundschule";"Zoologisches Museum im CeNaK"
198719;"2014-04-11 10:15:00";22391;"Grundschule";"Hamburger Kunsthalle"
198529;"2014-04-09 10:00:00";22043;"Grundschule";"Zoologisches Museum im CeNaK"
190903;"2013-03-20 11:00:00";22767;"Grundschule";"Archäologisches Museum Hamburg "
216;"2013-11-13 10:00:00";22359;"Grundschule";"Hamburger Kunsthalle"
29391;"2014-02-13 10:00:00";22339;"Grundschule";"Altonaer Museum "
199091;"2014-04-23 09:00:00";20148;"Grundschule";"Museum für Völkerkunde Hamburg"
170353;"2014-02-27 10:00:00";21073;"Stadtteilschule";"BallinStadt - das Auswanderermuseum Hamburg"
29391;"2014-05-15 09:30:00";22339;"Grundschule";"Museum für Völkerkunde Hamburg"
80276;"2015-02-04 10:30:00";22399;"Grundschule";"Museum für Völkerkunde Hamburg"
80276;"2015-01-14 10:30:00";22399;"Grundschule";"Zoologisches Museum im CeNaK"
205867;"2015-03-03 11:30:00";20357;"Grundschule";"Altonaer Museum "
200598;"2014-07-16 12:00:00";22605;"Grundschule";"Altonaer Museum "
24176;"2014-02-14 10:00:00";22399;"Grundschule";"Altonaer Museum "
121436;"2013-01-08 10:00:00";22303;"Grundschule";"Museum für Völkerkunde Hamburg"
55846;"2013-04-24 10:00:00";22115;"Grundschule";"Zoologisches Museum im CeNaK"
178243;"2014-01-15 10:00:00";22339;"Grundschule";"Hamburger Kunsthalle"
192632;"2014-02-25 16:00:00";20459;"Stadtteilschule";"Museum für Kunst und Gewerbe "
200598;"2014-07-15 10:00:00";22605;"Grundschule";"Altonaer Museum "
51412;"2015-06-10 09:30:00";22359;"Grundschule";"Museum für Völkerkunde Hamburg"
90546;"2015-05-05 09:00:00";22117;"Grundschule";"Hamburger Kunsthalle"
205598;"2015-04-02 10:45:00";20537;"Grundschule";"Museum für Völkerkunde Hamburg"
133051;"2013-02-15 10:00:00";22391;"Grundschule";"Zoologisches Museum im CeNaK"
202095;"2014-09-29 11:00:00";22041;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
200886;"2014-07-08 11:00:00";20144;"Stadtteilschule";"Hamburger Kunsthalle"
4486;"2015-04-21 10:00:00";20144;"Grundschule";"Altonaer Museum "
121436;"2013-04-10 10:00:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
3762;"2014-04-01 11:00:00";22559;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
192407;"2013-12-03 10:00:00";22457;"Grundschule";"Zoologisches Museum im CeNaK"
58081;"2013-02-12 10:00:00";20144;"Grundschule";"Museum für Völkerkunde Hamburg"
128196;"2013-04-18 10:00:00";22115;"Grundschule";"Zoologisches Museum im CeNaK"
152393;"2013-02-27 10:00:00";21149;"Grundschule";"Archäologisches Museum Hamburg "
190514;"2013-01-04 10:00:00";22147;"Sonderschule";"Altonaer Museum "
20781;"2014-04-02 10:00:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
20781;"2014-04-02 10:00:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
195128;"2015-10-01 10:30:00";21035;"Stadtteilschule";"HSV-Museum"
94071;"2013-01-15 10:00:00";22359;"Grundschule";"Hamburger Kunsthalle"
3866;"2015-01-20 11:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
3534;"2015-05-27 10:15:00";22159;"Grundschule";"Museum für Hamburgische Geschichte"
210657;"2015-10-06 10:00:00";22763;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
153073;"2015-12-03 08:00:00";22301;"Gymnasium";"Zoologisches Museum im CeNaK"
158973;"2015-06-16 10:00:00";22605;"Gymnasium";"Hamburger Kunsthalle"
210444;"2015-10-16 10:00:00";22041;"Gymnasium";"Museum der Arbeit "
36381;"2015-10-02 10:30:00";21035;"Gymnasium";"Hamburger Kunsthalle"
176503;"2013-02-13 10:30:00";20099;"Grundschule";"Hamburger Kunsthalle"
207968;"2015-07-01 10:30:00";20099;"Stadtteilschule";"Hamburger Kunsthalle"
179358;"2015-06-18 10:00:00";22359;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
177748;"2015-09-17 10:00:00";22339;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
200478;"2016-02-18 10:00:00";22605;"Gymnasium";"Museum für Kunst und Gewerbe "
152478;"2015-09-08 14:30:00";22399;"Stadtteilschule";"Hamburger Kunsthalle"
977;"2015-07-07 10:00:00";21029;"Gymnasium";"Hamburger Kunsthalle"
163338;"2015-06-18 11:00:00";22159;"Gymnasium";"Hamburger Kunsthalle"
201605;"2015-06-19 09:30:00";21031;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
202063;"2016-10-12 13:00:00";22307;"Stadtteilschule";"Museum der Arbeit "
210583;"2015-11-11 09:00:00";21075;"Grundschule";"Archäologisches Museum Hamburg "
200336;"2016-09-22 10:15:00";22145;"Gymnasium";"Hamburger Kunsthalle"
206296;"2015-03-31 14:30:00";21077;"Gymnasium";"Museum für Kunst und Gewerbe "
38031;"2013-06-11 10:00:00";22763;"Grundschule";"Hafenmuseum Hamburg"
200886;"2016-06-07 14:00:00";20144;"Stadtteilschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
209405;"2015-09-02 10:00:00";20251;"Gymnasium";"Museum für Kunst und Gewerbe "
198145;"2015-03-12 11:00:00";22609;"Grundschule";"Museum der Arbeit "
111726;"2015-07-07 11:00:00";22547;"Gymnasium";"Hamburger Kunsthalle"
195425;"2016-09-16 10:00:00";22179;"Gymnasium";"Museum der Arbeit "
191054;"2013-02-05 10:30:00";22559;"Gymnasium";"Museum für Völkerkunde Hamburg"
192569;"2016-01-07 12:30:00";22117;"Stadtteilschule";"Hamburger Kunsthalle"
75401;"2016-06-08 10:00:00";22529;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
191678;"2015-06-23 14:00:00";22399;"Gymnasium";"Museum für Kunst und Gewerbe "
208025;"2015-07-09 10:00:00";22083;"Grundschule";"Hamburger Kunsthalle"
19971;"2016-01-22 09:30:00";21033;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
67481;"2016-07-06 10:30:00";22359;"Grundschule";"Hamburger Kunsthalle"
208234;"2015-07-01 11:30:00";22043;"Stadtteilschule";"Hamburger Kunsthalle"
135928;"2016-04-05 12:30:00";22527;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
2287;"2015-02-24 10:00:00";22089;"Grundschule";"Hamburger Kunsthalle"
206537;"2015-04-01 11:00:00";22457;"Stadtteilschule";"Hamburger Kunsthalle"
191114;"2013-03-26 09:00:00";21109;"Gymnasium";"Archäologisches Museum Hamburg "
186853;"2013-10-18 10:00:00";21107;"Grundschule";"Altonaer Museum "
1846;"2015-12-11 10:00:00";22529;"Gymnasium";"Museum der Arbeit "
207135;"2015-07-07 10:00:00";22337;"Stadtteilschule";"Sammlung Falckenberg - Deichtorhallen Hamburg"
150688;"2015-04-17 13:30:00";21073;"Gymnasium";"Hamburger Kunsthalle"
163338;"2015-06-19 10:30:00";22159;"Gymnasium";"Hamburger Kunsthalle"
210322;"2015-11-30 10:30:00";22453;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
111726;"2016-02-11 14:00:00";22547;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
208500;"2016-03-01 12:30:00";20144;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
160543;"2016-06-16 14:00:00";20099;"Gymnasium";"Hamburger Kunsthalle"
195759;"2015-04-10 09:30:00";22179;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
197286;"2014-02-25 10:00:00";22179;"Grundschule";"Museum für Völkerkunde Hamburg"
202573;"2014-11-06 11:30:00";21149;"Grundschule";"Hamburger Kunsthalle"
177748;"2015-09-16 10:00:00";22339;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
68416;"2015-12-08 11:00:00";22399;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
203477;"2015-04-21 10:00:00";22043;"Stadtteilschule";"Museum für Kunst und Gewerbe "
177748;"2015-09-16 10:00:00";22359;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
192087;"2013-04-18 10:15:00";22143;"Grundschule";"Museum der Arbeit "
196569;"2016-04-28 10:15:00";22761;"Gymnasium";"Museum für Hamburgische Geschichte"
192504;"2013-04-12 10:00:00";21073;"Grundschule";"Zoologisches Museum im CeNaK"
178963;"2016-03-04 11:00:00";22605;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
33896;"2015-05-19 13:30:00";22337;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
169583;"2013-02-14 10:00:00";20095;"Stadtteilschule";"Hamburger Kunsthalle"
20096;"2016-04-14 13:00:00";22587;"Gymnasium";"Bucerius Kunst Forum"
202426;"2016-05-11 10:00:00";22307;"Stadtteilschule";"Hamburger Kunsthalle"
105746;"2015-09-30 11:00:00";21035;"Stadtteilschule";"Museum der Arbeit "
1866;"2013-03-28 10:00:00";20253;"Grundschule";"Hamburger Kunsthalle"
198967;"2015-10-02 11:30:00";21077;"Gemeinschaftsschule";"Museum der Arbeit "
65096;"2014-11-05 10:00:00";22085;"Grundschule";"Museum für Hamburgische Geschichte"
120776;"2015-06-01 10:30:00";21075;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
71931;"2015-11-17 09:30:00";22527;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
135963;"2016-02-11 10:30:00";22159;"Gymnasium";"Museum für Kunst und Gewerbe "
54197;"2016-01-15 10:00:00";22307;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
136973;"2013-04-10 10:30:00";22045;"Grundschule";"Museum für Hamburgische Geschichte"
207304;"2015-05-05 10:00:00";21031;"Stadtteilschule";"Museum für Kunst und Gewerbe "
4383;"2015-06-11 13:30:00";22605;"Gymnasium";"Hamburger Kunsthalle"
3106;"2014-05-12 10:00:00";22397;"Grundschule";"Museum für Hamburgische Geschichte"
170918;"2015-05-08 10:00:00";22769;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
198664;"2016-09-06 11:00:00";22417;"Stadtteilschule";"Museum der Arbeit "
210130;"2015-09-24 12:45:00";22337;"Stadtteilschule";"Museum für Hamburgische Geschichte"
207255;"2015-06-02 11:00:00";21149;"Stadtteilschule";"Zoologisches Museum im CeNaK"
206114;"2015-03-27 09:30:00";21075;"Förderschule";"KZ-Gedenkstätte Neuengamme"
132136;"2013-04-30 09:00:00";22453;"Grundschule";"Hamburger Kunsthalle"
190918;"2013-06-06 10:00:00";22045;"Grundschule";"Hamburger Kunsthalle"
195399;"2016-05-10 14:00:00";22337;"Gymnasium";"Altonaer Museum "
102311;"2016-05-11 11:45:00";22337;"Stadtteilschule";"Museum der Arbeit "
4345;"2015-04-16 12:30:00";22605;"Gymnasium";"Jüdischer Friedhof in Hamburg-Altona"
200856;"2015-12-17 12:45:00";22763;"Gemeinschaftsschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
114771;"2015-05-22 12:00:00";22609;"Stadtteilschule";"Hamburger Kunsthalle"
152813;"2016-03-01 13:30:00";20097;"Gymnasium";"Hamburger Kunsthalle"
215350;"2016-02-25 10:30:00";21109;"Stadtteilschule";"Museum für Hamburgische Geschichte"
203185;"2015-11-06 09:00:00";20535;"Stadtteilschule";"Hamburger Kunsthalle"
207788;"2015-06-02 11:15:00";22119;"Stadtteilschule";"HSV-Museum"
26876;"2016-01-11 13:30:00";22041;"Gymnasium";"Sammlung Falckenberg - Deichtorhallen Hamburg"
208317;"2016-02-03 11:00:00";22761;"Förderschule";"Hamburger Kunsthalle"
210444;"2015-10-14 11:30:00";22041;"Gymnasium";"Museum für Hamburgische Geschichte"
178053;"2013-04-05 10:15:00";22305;"Grundschule";"Hamburger Kunsthalle"
195398;"2016-05-11 11:15:00";22529;"Gymnasium";"Museum der Arbeit "
209831;"2015-09-10 10:00:00";21031;"Gymnasium";"Museum der Arbeit "
88071;"2016-03-23 13:30:00";22453;"Gymnasium";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
3762;"2015-07-09 09:30:00";22559;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
120801;"2015-10-08 11:00:00";22609;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
145883;"2015-03-18 12:00:00";20099;"Stadtteilschule";"Museum für Kunst und Gewerbe "
22056;"2015-11-12 09:00:00";22159;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
10231;"2016-10-05 09:30:00";21079;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
208815;"2015-07-08 11:30:00";22453;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
26876;"2016-09-22 16:00:00";22041;"Gymnasium";"Hamburger Kunsthalle"
198345;"2016-04-28 10:00:00";22339;"Stadtteilschule";"Museum der Arbeit "
207500;"2015-06-02 09:30:00";21107;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
199642;"2014-05-15 10:45:00";22589;"Grundschule";"Museum für Hamburgische Geschichte"
3932;"2015-05-07 11:00:00";22179;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
201605;"2015-06-19 09:30:00";21031;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
203085;"2015-05-29 10:00:00";22307;"Gymnasium";"Zoologisches Museum im CeNaK"
195443;"2016-01-12 12:30:00";22761;"Stadtteilschule";"Hamburger Kunsthalle"
196126;"2013-11-22 10:00:00";20144;"Grundschule";"Zoologisches Museum im CeNaK"
192256;"2015-12-16 14:00:00";21029;"Gymnasium";"Museum für Völkerkunde Hamburg"
